region,date,hour,vehicles,weather,weekday,accident,delay
Oslo,2025-01-07,0,7252.8,snowy,1,False,7
Bergen,2025-01-07,0,2344.3199999999997,clear,1,False,2
Trondheim,2025-01-07,0,7172.64,clear,1,False,7
Stavanger,2025-01-07,0,9012.96,clear,1,False,9
Kristiansand,2025-01-07,0,3962.88,rainy,1,False,3
Tromsø,2025-01-07,0,4472.063999999999,rainy,1,False,4
Sandnes,2025-01-07,0,3377.6639999999998,clear,1,False,3
Drammen,2025-01-07,0,6006.719999999999,clear,1,False,6
Fredrikstad,2025-01-07,0,6952.32,clear,1,False,6
Porsgrunn,2025-01-07,0,1951.4879999999998,clear,1,True,13
Ålesund,2025-01-07,0,3993.12,clear,1,False,3
Haugesund,2025-01-07,0,11034.72,clear,1,False,11
Tønsberg,2025-01-07,0,3313.44,clear,1,False,3
Moss,2025-01-07,0,4727.04,clear,1,False,4
Bodø,2025-01-07,0,6690.815999999999,clear,1,False,6
Arendal,2025-01-07,0,3199.68,foggy,1,False,3
Hamar,2025-01-07,0,5219.712,clear,1,True,11
Halden,2025-01-07,0,5786.496,clear,1,False,5
Narvik,2025-01-07,0,4960.32,clear,1,True,23
Gjøvik,2025-01-07,0,3219.8399999999997,snowy,1,False,3
Oslo,2025-01-07,1,4055.04,clear,1,False,4
Bergen,2025-01-07,1,4674.24,rainy,1,False,4
Trondheim,2025-01-07,1,2862.72,rainy,1,False,2
Stavanger,2025-01-07,1,5217.599999999999,clear,1,False,5
Kristiansand,2025-01-07,1,2904.1919999999996,rainy,1,False,2
Tromsø,2025-01-07,1,2823.3599999999997,clear,1,False,2
Sandnes,2025-01-07,1,6193.92,clear,1,False,6
Drammen,2025-01-07,1,6422.4,snowy,1,False,6
Fredrikstad,2025-01-07,1,2605.824,foggy,1,False,2
Porsgrunn,2025-01-07,1,3357.12,clear,1,False,3
Ålesund,2025-01-07,1,5164.8,rainy,1,False,5
Haugesund,2025-01-07,1,2863.68,clear,1,False,2
Tønsberg,2025-01-07,1,6318.719999999999,clear,1,False,6
Moss,2025-01-07,1,2335.104,clear,1,False,2
Bodø,2025-01-07,1,8983.296,clear,1,False,8
Arendal,2025-01-07,1,2753.2799999999997,clear,1,False,2
Hamar,2025-01-07,1,3900.48,clear,1,False,3
Halden,2025-01-07,1,7224.96,rainy,1,True,18
Narvik,2025-01-07,1,2380.0319999999997,snowy,1,False,2
Gjøvik,2025-01-07,1,4602.24,clear,1,False,4
Oslo,2025-01-07,2,3873.024,snowy,1,False,3
Bergen,2025-01-07,2,1227.84,clear,1,False,1
Trondheim,2025-01-07,2,1682.8799999999999,rainy,1,False,1
Stavanger,2025-01-07,2,7568.639999999999,clear,1,False,7
Kristiansand,2025-01-07,2,6602.88,rainy,1,False,6
Tromsø,2025-01-07,2,2768.256,clear,1,False,2
Sandnes,2025-01-07,2,5345.28,foggy,1,False,5
Drammen,2025-01-07,2,4576.896,rainy,1,False,4
Fredrikstad,2025-01-07,2,3435.2639999999997,clear,1,True,25
Porsgrunn,2025-01-07,2,1900.8,clear,1,False,1
Ålesund,2025-01-07,2,1230.72,clear,1,False,1
Haugesund,2025-01-07,2,5875.2,snowy,1,True,15
Tønsberg,2025-01-07,2,5683.2,clear,1,False,5
Moss,2025-01-07,2,1088.6399999999999,clear,1,False,1
Bodø,2025-01-07,2,1841.7599999999998,clear,1,False,1
Arendal,2025-01-07,2,2989.4399999999996,snowy,1,False,2
Hamar,2025-01-07,2,6471.936,clear,1,False,6
Halden,2025-01-07,2,3877.44,clear,1,False,3
Narvik,2025-01-07,2,6233.28,clear,1,True,11
Gjøvik,2025-01-07,2,6141.312,clear,1,False,6
Oslo,2025-01-07,3,1864.32,clear,1,False,1
Bergen,2025-01-07,3,1686.2399999999998,clear,1,False,1
Trondheim,2025-01-07,3,2972.16,clear,1,False,2
Stavanger,2025-01-07,3,6552.96,clear,1,False,6
Kristiansand,2025-01-07,3,5999.04,clear,1,False,5
Tromsø,2025-01-07,3,5822.4,clear,1,False,5
Sandnes,2025-01-07,3,2062.08,rainy,1,False,2
Drammen,2025-01-07,3,2779.776,rainy,1,False,2
Fredrikstad,2025-01-07,3,1477.4399999999998,clear,1,False,1
Porsgrunn,2025-01-07,3,2611.5839999999994,clear,1,False,2
Ålesund,2025-01-07,3,2290.176,clear,1,False,2
Haugesund,2025-01-07,3,4573.44,clear,1,False,4
Tønsberg,2025-01-07,3,1976.6399999999999,clear,1,False,1
Moss,2025-01-07,3,5341.44,foggy,1,True,19
Bodø,2025-01-07,3,3078.72,rainy,1,False,3
Arendal,2025-01-07,3,7344.96,clear,1,False,7
Hamar,2025-01-07,3,6049.152,clear,1,True,28
Halden,2025-01-07,3,1807.488,clear,1,False,1
Narvik,2025-01-07,3,7080.48,rainy,1,False,7
Gjøvik,2025-01-07,3,6419.5199999999995,clear,1,False,6
